date,prcp,srad,tmax,tmin,vp,wl,q
2002-01-01,0.0,194.4097183680821,-5.384643463712153,-12.398710884188723,236.0390449187684,3.657,5.55
2002-01-02,0.0,214.9464387210285,-3.708862672244829,-12.324374818417535,237.41116891048625,3.675,5.35
2002-01-03,0.0,143.56425480235086,-2.7558881325301443,-7.272508124383374,354.12506178897064,3.679,5.1
2002-01-04,0.0,144.74973462591302,-2.7046849313668155,-7.256031510399708,354.4095193973012,3.674,4.95
2002-01-05,1.5997973216506762,125.16634857824435,-0.7872950468187183,-4.877646060840452,425.1917376575281,3.658,5.5
2002-01-06,1.7442368028324158,69.40004257999605,-0.4107392085703538,-2.6847196455554783,501.345885577229,3.632,5.95
2002-01-07,0.0,156.27045372820612,-6.228002398310391,-11.115182417857415,261.6685602211916,3.632,5.2
2002-01-08,1.2665817695103674,244.0917101313037,-1.106680187512067,-11.713519957805769,249.37987396450515,3.656,4.3
2002-01-09,0.1045376360904594,223.28135385230627,2.2636058225119675,-5.939832097335341,392.2137133466908,3.645,4.7
2002-01-10,0.4075593472127639,65.94376000914173,2.158138483686028,0.2753931355334523,623.1908776738037,3.588,5.55
2002-01-11,0.2015148854719062,71.73515297313932,0.8679373383673136,-1.166940719668778,560.8406287551859,3.602,6.15
2002-01-12,5.330276792372074,97.33417854834777,1.2227224993945194,-2.563375448639729,505.8291134561032,3.642,7.49
2002-01-13,0.8493543948286599,82.89042353334992,-3.1185121573480683,-5.55301935715844,404.0664765168028,3.693,7.0
2002-01-14,5.140901842493289,193.5528874890729,0.0817857512874162,-10.976309610200444,264.5693427529736,3.666,6.1
2002-01-15,3.6083320395374967,165.2259284831309,0.3544926544123494,-5.897980959618152,393.5292489169356,3.635,5.9
2002-01-16,10.603238625233212,157.60499217231268,-1.7964841385868402,-8.127687143213231,331.3663879854756,3.599,5.45
2002-01-17,7.869702870788151,64.61629935038698,-2.498456974573206,-4.666393141002936,432.32095792098914,3.579,4.95
2002-01-18,4.10027314287979,91.171221930796,-6.340749284871466,-9.439615184685495,299.02717024614225,3.58,4.6
2002-01-19,0.0,275.0962148978821,-3.926686367403392,-15.034500086071963,190.8065565829345,3.611,4.35
2002-01-20,0.0,273.1591594247726,-1.3324119919067376,-11.820320727765658,247.34495791674783,3.645,4.45
2002-01-21,3.008707490944642,113.25177833038389,-1.2229803037888305,-4.792326708566505,427.95753820144586,3.626,4.65
2002-01-22,0.0,266.6039107691171,3.8519136319325376,-5.557162181961002,403.84535330972267,3.576,4.83
2002-01-23,0.4868629096257023,135.35408684675485,3.864168436454102,0.4027783404338452,629.026448444718,3.574,5.1
2002-01-24,0.0,128.9795127849807,-0.9602160700701966,-4.122562405431394,450.97779360536646,3.625,6.55
2002-01-25,0.0,279.03603256035166,2.4479813454125425,-7.362575991712874,351.5316292971545,3.707,9.2
2002-01-26,0.0,184.5768094828026,3.88604330756022,-0.8666915613322972,573.281971703429,3.707,9.0
2002-01-27,0.0,239.1177842462057,6.03567778798546,-0.8761344885482641,572.9885822179103,3.699,8.8
2002-01-28,0.0,226.72429356954413,6.727730826462427,0.5068166922534041,633.7454364393756,3.715,9.6
2002-01-29,0.0,129.06853484254424,-1.1107745046251052,-4.1045012348140215,452.0468020018105,3.766,12.0
2002-01-30,6.949518278140422,62.93184978566441,-4.64818987657611,-6.4512246438382,377.3994893741064,3.722,9.6
2002-01-31,12.540538281217811,197.24199596004323,-2.076950200335997,-9.105607769821567,306.85606709092,3.688,8.55
2002-02-01,6.250571243631548,238.6133324709897,1.7943764937602795,-9.567104323574862,296.03884827985286,3.686,8.4
2002-02-02,1.5072165878134138,270.68919809761,-2.9034384433027056,-11.999675759225234,243.7860108184615,3.648,7.55
2002-02-03,8.453549524377676,226.0547710006089,-0.6763458779704521,-9.55975190344045,296.096344299237,3.635,6.4
2002-02-04,0.7621547704026903,192.8756575462909,-9.687832736026722,-14.240478604923478,203.22708731684537,3.588,5.25
2002-02-05,0.9032480533319532,325.57576542406497,-3.945245613243763,-17.030359265882403,160.96409216189966,3.585,5.0
2002-02-06,0.0,235.44844035021148,-2.4598270949896475,-8.15790758427084,330.83135112954875,3.577,4.93
2002-02-07,0.0,284.19613853748217,1.1554010658410148,-6.302050635911374,381.6336359421786,3.58,4.86
2002-02-08,0.0,268.63746211636635,-0.3496799269387934,-6.9156669290253046,363.9656958420824,3.562,4.42
2002-02-09,0.0,296.882993289672,-0.4487300428521792,-8.203282121535201,329.2916187250671,3.544,4.08
2002-02-10,3.5389574358721174,265.03931190224915,4.116181429298488,-6.806246242812073,367.3762756044148,3.54,3.93
2002-02-11,0.0,371.275884128398,-0.7044939525899089,-16.23209733897303,172.2015720645153,3.692,4.25
2002-02-12,6.047522618841269,268.7289486042485,0.8446149885570182,-11.44631767346099,254.78272013939508,3.705,5.1
2002-02-13,0.0,367.1579499147984,-4.409832049377003,-16.99845269937659,161.5468504458868,3.675,5.18
2002-02-14,0.0,368.2039285924618,2.18212792407828,-10.778957626327404,268.7790708717431,3.617,4.7
2002-02-15,2.312330149854154,145.40447283455688,2.048517218789302,-1.908912176878672,530.9664384934166,3.577,3.8
2002-02-16,4.617754559732639,106.11254132980493,-0.0047676807638617,-3.1546196778165894,484.5508825195995,3.534,4.06
2002-02-17,0.0,126.1040898061704,-7.152224591496834,-9.835943258887337,289.8919514039626,3.552,4.27
2002-02-18,0.0,405.7572018790483,-0.9541571100252612,-18.75116452537226,139.09762208415884,3.554,3.97
