date,prcp,srad,tmax,tmin,vp
1980-01-01,0.0,68.44046333955716,-1.5777096996658246,-3.8255702772118174,460.38997572682104
1980-01-02,0.7536122596859002,125.8410065355366,-1.7972691111045753,-6.162547248236168,385.64470938366657
1980-01-03,0.0012329042740495519,153.27748479808426,-8.122482401014802,-13.519495007623563,215.62824834227513
1980-01-04,0.0,235.02600068416206,-7.41215534948522,-18.048897517787506,147.674058805179
1980-01-05,0.0,193.79066025887195,-6.0982351151500875,-13.363407486215333,218.30402694073302
1980-01-06,6.9454470977458405,193.37349158617843,-0.975749934433697,-16.042923386098195,174.9437051309872
1980-01-07,5.565885395239372,142.19527814426712,-3.3459244716496017,-10.25780351293378,280.1912503234061
1980-01-08,2.3131480108471942,112.11365978748805,-7.823336328786923,-12.112312601800395,241.582082024057
1980-01-09,1.0696426169254234,107.3472296335892,-10.135285752915612,-13.95699667574152,207.94302533110542
1980-01-10,10.865784582859883,205.8633252875356,4.0974405393167155,-17.063685453960932,160.55690037612794
1980-01-11,16.726115192885963,201.74725462238547,7.65562610283409,-7.2422446173147454,354.82736629242123
1980-01-12,2.406649507087032,222.73132916062193,-5.401530162983121,-15.665753726362874,180.46897458985524
1980-01-13,0.0,264.09149457383006,-0.21917869211271404,-11.939330075646344,244.95516577803474
1980-01-14,0.0,168.2213608222523,1.4376758968131154,-3.97905103346518,455.6681653467615
1980-01-15,0.0,244.35453667811788,2.6912541614881245,-6.699284645870088,370.19110959390787
1980-01-16,0.9862414204149863,196.32782909474642,1.1741876593606435,-5.373665172388578,409.6039230410159
1980-01-17,2.7885207352697754,141.21724106862533,3.8433146229043853,-2.2485404959784403,517.870865509105
1980-01-18,0.0,68.74986089075597,0.8444764681328749,-1.036908211004623,566.1568470249188
1980-01-19,0.3396540561192091,53.66704807159991,-1.390425373568117,-2.710991810455153,500.34921112298616
1980-01-20,0.5478896896555843,112.85297555546563,-3.38364066741179,-6.628632999421159,372.0313447026865
1980-01-21,1.8546058877380451,142.11698969822658,-3.1458992503269587,-7.703845431735847,342.3788240981238
1980-01-22,4.25267635216889,175.9255054378659,-1.8202177526492258,-9.364633110638284,300.7030943903772
1980-01-23,4.6311972197182065,148.8306462135652,-8.604671231422092,-14.380811108981211,200.7428670040098
1980-01-24,0.0,273.3999604771179,-11.376288278872803,-20.659828752933286,117.99881424063267
1980-01-25,1.8733038842825296,273.7238794854453,-7.829198660329184,-19.64537282890165,128.98210694148892
1980-01-26,0.39271158401196193,244.80245844175977,-6.160625715969878,-13.564828632532533,214.674699342939
1980-01-27,1.4394459808858442,119.58176582076567,-5.868898981970796,-9.048120923613858,308.20079740662163
1980-01-28,0.29537460993446546,164.41289970151965,-7.925857907288783,-12.249607669513672,238.83138299605784
1980-01-29,0.7137484392808928,264.1159111600215,-7.362073127472082,-15.373970304760416,184.89771284310692
1980-01-30,0.0,220.41260497261334,-12.027150078224011,-17.947895597295723,149.11298275033576
1980-01-31,0.0,234.581994338787,-13.513199425004025,-19.920757266003445,125.79542249703373
1980-02-01,0.0,241.55452320973703,-13.354985371103407,-20.127866294752234,123.8111600369014
1980-02-02,0.0,282.14316188040584,-13.253418225803173,-21.6399094789895,108.26316040944636
1980-02-03,0.33860250845339857,257.4219625715036,-11.854900824149574,-18.933437647574035,136.97125696821016
1980-02-04,0.0,274.66320299415355,-9.692473274019942,-17.430031799030253,155.72420646927355
1980-02-05,0.0,353.246436161829,-8.653637488025959,-22.37768394840427,101.49142306516768
1980-02-06,0.0,297.2652479746041,-7.951576364232549,-16.407263699597017,169.62654288961937
1980-02-07,0.0,356.1117355646224,-4.991678044209242,-18.517075662841048,141.8963104074472
1980-02-08,0.0,329.57721266267947,-7.120349845756666,-17.5552527423458,154.0892704534705
1980-02-09,0.0,331.7530827276794,-6.764542576855074,-16.77597176140942,164.51682475541816
1980-02-10,0.40303926110749294,366.3018516207264,-6.312528606792077,-19.064007892139994,135.46456659012523
1980-02-11,2.187050440920651,175.6113476248874,-7.30136031518055,-12.089370071137878,242.02213339188194
1980-02-12,1.3898679782195262,315.08700281491326,-4.8424415690881535,-13.16217484820094,221.8295795041946
1980-02-13,2.04100234000883,226.42657803889074,-5.157002999053545,-11.28339595162367,258.1312964040169
1980-02-14,0.5609994146519584,232.1566018754718,-4.468647567784482,-9.575523451942363,296.39152452545244
1980-02-15,3.226022685596984,261.9412240197496,-6.064299796062155,-15.207622724043102,187.51772464359416
1980-02-16,1.4606458616865783,288.68302153945905,-6.75371672952479,-13.31350975913178,219.13373378876645
1980-02-17,0.8649639197340934,361.4130763590987,-9.169714758486656,-18.690322857441156,139.80102972783465
1980-02-18,1.6197999206205478,322.6583389087821,-4.776194100098193,-13.839498420178245,209.85645257242638
1980-02-19,2.43937707687503,299.816695476062,0.4396561357662352,-9.80696830248622,290.33661945717944
1980-02-20,0.0,211.2894354306965,2.050600346175105,-2.623266248965227,503.6832625073192
1980-02-21,0.0,177.89087825671987,0.8604968787392271,-2.8973768853298156,493.636013382323
1980-02-22,5.191035883261152,213.05368889834946,-1.816548752811851,-8.10026326530376,332.0099163922309
1980-02-23,2.073186490133413,298.4731433232628,-0.9733783759055049,-8.2743749320941,328.1523684346423
1980-02-24,2.2605689012114736,126.44849412053192,-2.1609151697428484,-5.092415309897699,418.4395044972485
1980-02-25,0.0,272.6515119422681,-5.530237381987071,-10.985319810507514,264.40368015995523
1980-02-26,2.221126103706492,403.5425373839143,-8.7649374177508,-25.02688579633716,80.0525056249824
