﻿Daily Discharge (m3/s) (PARAM = 1) and Daily Water Level (m) (PARAM = 2)
 ID,PARAM,Date,Value,SYM
02GA014,1,1948/01/23,2.61,B
02GA014,1,1948/01/24,2.61,B
02GA014,1,1948/01/25,2.61,B
02GA014,1,1948/01/26,2.61,B
02GA014,1,1948/01/27,2.61,B
02GA014,1,1948/01/28,2.61,B
02GA014,1,1948/01/29,2.61,B
02GA014,1,1948/01/30,2.61,B
02GA014,1,1948/01/31,2.61,B
02GA014,1,1948/02/01,2.86,B
02GA014,1,1948/02/02,2.86,B
02GA014,1,1948/02/03,2.86,B
02GA014,1,1948/02/04,2.86,B
02GA014,1,1948/02/05,2.86,B
02GA014,1,1948/02/06,2.86,B
02GA014,1,1948/02/07,2.86,B
02GA014,1,1948/02/08,2.86,B
02GA014,1,1948/02/09,2.86,B
02GA014,1,1948/02/10,2.86,B
02GA014,1,1948/02/11,2.86,B
02GA014,1,1948/02/12,2.86,B
02GA014,1,1948/02/13,2.86,B
02GA014,1,1948/02/14,2.86,B
02GA014,1,1948/02/15,2.86,B
02GA014,1,1948/02/16,2.86,B
02GA014,1,1948/02/17,2.86,B
02GA014,1,1948/02/18,2.86,B
02GA014,1,1948/02/19,2.86,B
02GA014,1,1948/02/20,2.86,B
02GA014,1,1948/02/21,2.86,B
02GA014,1,1948/02/22,2.86,B
02GA014,1,1948/02/23,2.86,B
02GA014,1,1948/02/24,2.86,B
02GA014,1,1948/02/25,2.86,B
02GA014,1,1948/02/26,2.86,B
02GA014,1,1948/02/27,2.86,B
02GA014,1,1948/02/28,2.86,B
02GA014,1,1948/02/29,2.86,B
02GA014,1,1948/03/01,8.50,E
02GA014,1,1948/03/02,8.50,E
02GA014,1,1948/03/03,8.50,E
02GA014,1,1948/03/04,8.50,E
02GA014,1,1948/03/05,8.50,E
02GA014,1,1948/03/06,8.50,E
02GA014,1,1948/03/07,8.50,E
02GA014,1,1948/03/08,8.50,E
02GA014,1,1948/03/09,8.50,E
02GA014,1,1948/03/10,8.50,E
02GA014,1,1948/03/11,8.50,E
02GA014,1,1948/03/12,8.50,E
02GA014,1,1948/03/13,8.50,
02GA014,1,1948/03/14,8.50,
02GA014,1,1948/03/15,9.77,
02GA014,1,1948/03/16,29.7,
02GA014,1,1948/03/17,51.3,
02GA014,1,1948/03/18,72.5,
02GA014,1,1948/03/19,117,
02GA014,1,1948/03/20,337,
02GA014,1,1948/03/21,297,
02GA014,1,1948/03/22,247,
02GA014,1,1948/03/23,118,
02GA014,1,1948/03/24,64.6,
02GA014,1,1948/03/25,46.4,
02GA014,1,1948/03/26,36.8,
02GA014,1,1948/03/27,76.7,
02GA014,1,1948/03/28,43.0,
02GA014,1,1948/03/29,38.5,E
02GA014,1,1948/03/30,34.0,E
02GA014,1,1948/03/31,36.8,
02GA014,1,1948/04/01,43.0,
02GA014,1,1948/04/02,25.9,
02GA014,1,1948/04/03,13.1,
02GA014,1,1948/04/04,9.88,
02GA014,1,1948/04/05,8.50,
02GA014,1,1948/04/06,8.50,
02GA014,1,1948/04/07,7.22,
02GA014,1,1948/04/08,6.63,E
02GA014,1,1948/04/09,6.06,
02GA014,1,1948/04/10,3.26,
02GA014,1,1948/04/11,13.1,
02GA014,1,1948/04/12,72.5,
02GA014,1,1948/04/13,46.4,
02GA014,1,1948/04/14,8.50,
02GA014,1,1948/04/15,13.1,
02GA014,1,1948/04/16,8.50,
02GA014,1,1948/04/17,7.22,
02GA014,1,1948/04/18,7.22,
02GA014,1,1948/04/19,6.06,E
02GA014,1,1948/04/20,5.01,
02GA014,1,1948/04/21,7.22,
02GA014,1,1948/04/22,16.8,
02GA014,1,1948/04/23,14.8,
02GA014,1,1948/04/24,16.8,
02GA014,1,1948/04/25,8.50,
02GA014,1,1948/04/26,9.88,
02GA014,1,1948/04/27,9.88,
02GA014,1,1948/04/28,8.50,
02GA014,1,1948/04/29,8.50,
02GA014,1,1948/04/30,9.88,
02GA014,1,1948/05/01,9.88,
02GA014,1,1948/05/02,11.4,
02GA014,1,1948/05/03,13.1,
02GA014,1,1948/05/04,9.88,
02GA014,1,1948/05/05,8.50,
02GA014,1,1948/05/06,7.22,
02GA014,1,1948/05/07,11.4,
02GA014,1,1948/05/08,2.52,
02GA014,1,1948/05/09,2.52,
02GA014,1,1948/05/10,1.90,
02GA014,1,1948/05/11,3.26,
02GA014,1,1948/05/12,2.52,
02GA014,1,1948/05/13,2.52,
02GA014,1,1948/05/14,8.50,
02GA014,1,1948/05/15,5.01,
02GA014,1,1948/05/16,5.01,
02GA014,1,1948/05/17,7.22,
02GA014,1,1948/05/18,7.22,
02GA014,1,1948/05/19,7.22,
02GA014,1,1948/05/20,6.06,
02GA014,1,1948/05/21,6.06,
02GA014,1,1948/05/22,9.88,
02GA014,1,1948/05/23,4.08,
02GA014,1,1948/05/24,1.90,
02GA014,1,1948/05/25,1.64,
02GA014,1,1948/05/26,1.39,
02GA014,1,1948/05/27,1.36,
02GA014,1,1948/05/28,1.02,
02GA014,1,1948/05/29,0.850,
02GA014,1,1948/05/30,0.793,
02GA014,1,1948/05/31,0.793,
02GA014,1,1948/06/01,0.793,
02GA014,1,1948/06/02,0.765,
02GA014,1,1948/06/03,0.481,
02GA014,1,1948/06/04,0.396,
02GA014,1,1948/06/05,0.340,
02GA014,1,1948/06/06,0.283,
02GA014,1,1948/06/07,0.255,
02GA014,1,1948/06/08,0.368,
02GA014,1,1948/06/09,0.340,
02GA014,1,1948/06/10,0.340,
02GA014,1,1948/06/11,0.311,E
02GA014,1,1948/06/12,0.283,
02GA014,1,1948/06/13,0.283,
02GA014,1,1948/06/14,0.255,
02GA014,1,1948/06/15,0.198,
02GA014,1,1948/06/16,0.170,
02GA014,1,1948/06/17,0.368,
02GA014,1,1948/06/18,0.283,
02GA014,1,1948/06/19,0.198,
02GA014,1,1948/06/20,0.170,
02GA014,1,1948/06/21,0.170,
02GA014,1,1948/06/22,0.170,
02GA014,1,1948/06/23,0.142,
02GA014,1,1948/06/24,0.142,
02GA014,1,1948/06/25,0.142,E
02GA014,1,1948/06/26,0.170,
02GA014,1,1948/06/27,0.283,
02GA014,1,1948/06/28,0.198,
02GA014,1,1948/06/29,0.340,
02GA014,1,1948/06/30,0.283,
02GA014,1,1948/07/01,1.90,
02GA014,1,1948/07/02,0.963,
02GA014,1,1948/07/03,0.510,
02GA014,1,1948/07/04,0.368,
02GA014,1,1948/07/05,21.0,
02GA014,1,1948/07/06,14.8,
02GA014,1,1948/07/07,14.8,
02GA014,1,1948/07/08,13.1,E
02GA014,1,1948/07/09,11.4,E
02GA014,1,1948/07/10,9.88,
02GA014,1,1948/07/11,8.50,
02GA014,1,1948/07/12,4.08,
02GA014,1,1948/07/13,0.963,
02GA014,1,1948/07/14,0.623,
02GA014,1,1948/07/15,0.623,
02GA014,1,1948/07/16,0.340,
02GA014,1,1948/07/17,5.01,
02GA014,1,1948/07/18,4.08,
02GA014,1,1948/07/19,7.22,
02GA014,1,1948/07/20,6.06,
02GA014,1,1948/07/21,14.8,
02GA014,1,1948/07/22,9.88,
02GA014,1,1948/07/23,9.88,
02GA014,1,1948/07/24,7.22,
02GA014,1,1948/07/25,5.01,
02GA014,1,1948/07/26,4.08,
02GA014,1,1948/07/27,3.26,
02GA014,1,1948/07/28,2.21,
02GA014,1,1948/07/29,1.78,
02GA014,1,1948/07/30,1.39,
02GA014,1,1948/07/31,0.623,
02GA014,1,1948/08/01,0.368,
02GA014,1,1948/08/02,0.340,
02GA014,1,1948/08/03,0.368,
02GA014,1,1948/08/04,0.113,
02GA014,1,1948/08/05,0.057,
02GA014,1,1948/08/06,0.057,E
02GA014,1,1948/08/07,0.057,
02GA014,1,1948/08/08,0.028,
02GA014,1,1948/08/09,0.028,
02GA014,1,1948/08/10,0.368,
02GA014,1,1948/08/11,1.02,
02GA014,1,1948/08/12,1.05,
02GA014,1,1948/08/13,0.963,
02GA014,1,1948/08/14,0.057,
02GA014,1,1948/08/15,0.028,
02GA014,1,1948/08/16,0.028,
02GA014,1,1948/08/17,0.028,
02GA014,1,1948/08/18,0.227,
02GA014,1,1948/08/19,0.227,
02GA014,1,1948/08/20,0.142,E
02GA014,1,1948/08/21,0.057,
02GA014,1,1948/08/22,0.057,
02GA014,1,1948/08/23,0.057,
02GA014,1,1948/08/24,0.057,
02GA014,1,1948/08/25,0.057,
02GA014,1,1948/08/26,0.057,
02GA014,1,1948/08/27,0.057,
02GA014,1,1948/08/28,0.057,
02GA014,1,1948/08/29,0.057,
02GA014,1,1948/08/30,0.057,
02GA014,1,1948/08/31,0.057,
02GA014,1,1948/09/01,0.057,E
02GA014,1,1948/09/02,0.057,E
02GA014,1,1948/09/03,0.057,
02GA014,1,1948/09/04,0.057,
02GA014,1,1948/09/05,0.057,
02GA014,1,1948/09/06,0.057,
02GA014,1,1948/09/07,0.057,
02GA014,1,1948/09/08,0.057,
02GA014,1,1948/09/09,0.028,
02GA014,1,1948/09/10,0.028,
02GA014,1,1948/09/11,0.028,
02GA014,1,1948/09/12,0.028,
02GA014,1,1948/09/13,0.028,
02GA014,1,1948/09/14,0.028,
02GA014,1,1948/09/15,0.028,
02GA014,1,1948/09/16,0.057,
02GA014,1,1948/09/17,0.057,
02GA014,1,1948/09/18,0.057,
02GA014,1,1948/09/19,0.113,E
02GA014,1,1948/09/20,0.198,
02GA014,1,1948/09/21,0.057,
02GA014,1,1948/09/22,0.057,
02GA014,1,1948/09/23,0.057,
02GA014,1,1948/09/24,0.057,
02GA014,1,1948/09/25,0.057,
02GA014,1,1948/09/26,0.057,
02GA014,1,1948/09/27,0.057,
02GA014,1,1948/09/28,0.057,
02GA014,1,1948/09/29,0.057,
02GA014,1,1948/09/30,0.057,
02GA014,1,1948/10/01,0.057,
02GA014,1,1948/10/02,0.057,
02GA014,1,1948/10/03,0.057,
02GA014,1,1948/10/04,0.057,
02GA014,1,1948/10/05,0.057,
02GA014,1,1948/10/06,0.057,
02GA014,1,1948/10/07,0.057,
02GA014,1,1948/10/08,0.057,
02GA014,1,1948/10/09,0.113,
02GA014,1,1948/10/10,0.057,
02GA014,1,1948/10/11,0.057,
02GA014,1,1948/10/12,0.057,
02GA014,1,1948/10/13,0.113,
02GA014,1,1948/10/14,0.198,
02GA014,1,1948/10/15,0.198,
02GA014,1,1948/10/16,0.113,
02GA014,1,1948/10/17,0.113,
02GA014,1,1948/10/18,0.057,
02GA014,1,1948/10/19,0.057,
02GA014,1,1948/10/20,0.057,
02GA014,1,1948/10/21,0.057,
02GA014,1,1948/10/22,0.057,
02GA014,1,1948/10/23,0.057,
02GA014,1,1948/10/24,0.057,
02GA014,1,1948/10/25,0.057,
02GA014,1,1948/10/26,0.057,E
02GA014,1,1948/10/27,0.057,
02GA014,1,1948/10/28,0.113,
02GA014,1,1948/10/29,0.057,
02GA014,1,1948/10/30,0.057,
02GA014,1,1948/10/31,0.113,
02GA014,1,1948/11/01,0.113,
02GA014,1,1948/11/02,0.085,
02GA014,1,1948/11/03,0.113,
02GA014,1,1948/11/04,0.113,
02GA014,1,1948/11/05,0.113,
02GA014,1,1948/11/06,0.170,
02GA014,1,1948/11/07,0.368,
02GA014,1,1948/11/08,0.368,
02GA014,1,1948/11/09,0.368,
02GA014,1,1948/11/10,0.368,
02GA014,1,1948/11/11,0.198,
02GA014,1,1948/11/12,0.311,
02GA014,1,1948/11/13,0.368,
02GA014,1,1948/11/14,0.481,
02GA014,1,1948/11/15,0.566,
02GA014,1,1948/11/16,0.623,
02GA014,1,1948/11/17,0.623,
02GA014,1,1948/11/18,0.623,
